Start Day,Start Month,Year,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),FEDFUNDS
1,7,1954,7,31,7/1/1954,7/31/1954,7/1/1954,7/30/1954,0.8
1,8,1954,8,31,8/1/1954,8/31/1954,8/2/1954,8/31/1954,1.22
1,9,1954,9,30,9/1/1954,9/30/1954,9/1/1954,9/30/1954,1.07
1,10,1954,10,31,10/1/1954,10/31/1954,10/1/1954,10/29/1954,0.85
1,11,1954,11,30,11/1/1954,11/30/1954,11/1/1954,11/30/1954,0.83
1,12,1954,12,31,12/1/1954,12/31/1954,12/1/1954,12/31/1954,1.28
1,1,1955,1,31,1/1/1955,1/31/1955,1/3/1955,1/31/1955,1.39
1,2,1955,2,28,2/1/1955,2/28/1955,2/1/1955,2/28/1955,1.29
1,3,1955,3,31,3/1/1955,3/31/1955,3/1/1955,3/31/1955,1.35
1,4,1955,4,30,4/1/1955,4/30/1955,4/1/1955,4/29/1955,1.43
1,5,1955,5,31,5/1/1955,5/31/1955,5/2/1955,5/31/1955,1.43
1,6,1955,6,30,6/1/1955,6/30/1955,6/1/1955,6/30/1955,1.64
1,7,1955,7,31,7/1/1955,7/31/1955,7/1/1955,7/29/1955,1.68
1,8,1955,8,31,8/1/1955,8/31/1955,8/1/1955,8/31/1955,1.96
1,9,1955,9,30,9/1/1955,9/30/1955,9/1/1955,9/30/1955,2.18
1,10,1955,10,31,10/1/1955,10/31/1955,10/3/1955,10/31/1955,2.24
1,11,1955,11,30,11/1/1955,11/30/1955,11/1/1955,11/30/1955,2.35
1,12,1955,12,31,12/1/1955,12/31/1955,12/1/1955,12/30/1955,2.48
1,1,1956,1,31,1/1/1956,1/31/1956,1/2/1956,1/31/1956,2.45
1,2,1956,2,29,2/1/1956,2/29/1956,2/1/1956,2/29/1956,2.5
1,3,1956,3,31,3/1/1956,3/31/1956,3/1/1956,3/30/1956,2.5
1,4,1956,4,30,4/1/1956,4/30/1956,4/2/1956,4/30/1956,2.62
1,5,1956,5,31,5/1/1956,5/31/1956,5/1/1956,5/31/1956,2.75
1,6,1956,6,30,6/1/1956,6/30/1956,6/1/1956,6/29/1956,2.71
1,7,1956,7,31,7/1/1956,7/31/1956,7/2/1956,7/31/1956,2.75
1,8,1956,8,31,8/1/1956,8/31/1956,8/1/1956,8/31/1956,2.73
1,9,1956,9,30,9/1/1956,9/30/1956,9/3/1956,9/28/1956,2.95
1,10,1956,10,31,10/1/1956,10/31/1956,10/1/1956,10/31/1956,2.96
1,11,1956,11,30,11/1/1956,11/30/1956,11/1/1956,11/30/1956,2.88
1,12,1956,12,31,12/1/1956,12/31/1956,12/3/1956,12/31/1956,2.94
1,1,1957,1,31,1/1/1957,1/31/1957,1/1/1957,1/31/1957,2.84
1,2,1957,2,28,2/1/1957,2/28/1957,2/1/1957,2/28/1957,3
1,3,1957,3,31,3/1/1957,3/31/1957,3/1/1957,3/29/1957,2.96
1,4,1957,4,30,4/1/1957,4/30/1957,4/1/1957,4/30/1957,3
1,5,1957,5,31,5/1/1957,5/31/1957,5/1/1957,5/31/1957,3
1,6,1957,6,30,6/1/1957,6/30/1957,6/3/1957,6/28/1957,3
1,7,1957,7,31,7/1/1957,7/31/1957,7/1/1957,7/31/1957,2.99
1,8,1957,8,31,8/1/1957,8/31/1957,8/1/1957,8/30/1957,3.24
1,9,1957,9,30,9/1/1957,9/30/1957,9/2/1957,9/30/1957,3.47
1,10,1957,10,31,10/1/1957,10/31/1957,10/1/1957,10/31/1957,3.5
1,11,1957,11,30,11/1/1957,11/30/1957,11/1/1957,11/29/1957,3.28
1,12,1957,12,31,12/1/1957,12/31/1957,12/2/1957,12/31/1957,2.98
1,1,1958,1,31,1/1/1958,1/31/1958,1/1/1958,1/31/1958,2.72
1,2,1958,2,28,2/1/1958,2/28/1958,2/3/1958,2/28/1958,1.67
1,3,1958,3,31,3/1/1958,3/31/1958,3/3/1958,3/31/1958,1.2
1,4,1958,4,30,4/1/1958,4/30/1958,4/1/1958,4/30/1958,1.26
1,5,1958,5,31,5/1/1958,5/31/1958,5/1/1958,5/30/1958,0.63
1,6,1958,6,30,6/1/1958,6/30/1958,6/2/1958,6/30/1958,0.93
1,7,1958,7,31,7/1/1958,7/31/1958,7/1/1958,7/31/1958,0.68
1,8,1958,8,31,8/1/1958,8/31/1958,8/1/1958,8/29/1958,1.53
1,9,1958,9,30,9/1/1958,9/30/1958,9/1/1958,9/30/1958,1.76
1,10,1958,10,31,10/1/1958,10/31/1958,10/1/1958,10/31/1958,1.8
1,11,1958,11,30,11/1/1958,11/30/1958,11/3/1958,11/28/1958,2.27
1,12,1958,12,31,12/1/1958,12/31/1958,12/1/1958,12/31/1958,2.42
1,1,1959,1,31,1/1/1959,1/31/1959,1/1/1959,1/30/1959,2.48
1,2,1959,2,28,2/1/1959,2/28/1959,2/2/1959,2/27/1959,2.43
1,3,1959,3,31,3/1/1959,3/31/1959,3/2/1959,3/31/1959,2.8
1,4,1959,4,30,4/1/1959,4/30/1959,4/1/1959,4/30/1959,2.96
1,5,1959,5,31,5/1/1959,5/31/1959,5/1/1959,5/29/1959,2.9
1,6,1959,6,30,6/1/1959,6/30/1959,6/1/1959,6/30/1959,3.39
1,7,1959,7,31,7/1/1959,7/31/1959,7/1/1959,7/31/1959,3.47
1,8,1959,8,31,8/1/1959,8/31/1959,8/3/1959,8/31/1959,3.5
1,9,1959,9,30,9/1/1959,9/30/1959,9/1/1959,9/30/1959,3.76
1,10,1959,10,31,10/1/1959,10/31/1959,10/1/1959,10/30/1959,3.98
1,11,1959,11,30,11/1/1959,11/30/1959,11/2/1959,11/30/1959,4
1,12,1959,12,31,12/1/1959,12/31/1959,12/1/1959,12/31/1959,3.99
1,1,1960,1,31,1/1/1960,1/31/1960,1/1/1960,1/29/1960,3.99
1,2,1960,2,29,2/1/1960,2/29/1960,2/1/1960,2/29/1960,3.97
1,3,1960,3,31,3/1/1960,3/31/1960,3/1/1960,3/31/1960,3.84
1,4,1960,4,30,4/1/1960,4/30/1960,4/1/1960,4/29/1960,3.92
1,5,1960,5,31,5/1/1960,5/31/1960,5/2/1960,5/31/1960,3.85
1,6,1960,6,30,6/1/1960,6/30/1960,6/1/1960,6/30/1960,3.32
1,7,1960,7,31,7/1/1960,7/31/1960,7/1/1960,7/29/1960,3.23
1,8,1960,8,31,8/1/1960,8/31/1960,8/1/1960,8/31/1960,2.98
1,9,1960,9,30,9/1/1960,9/30/1960,9/1/1960,9/30/1960,2.6
1,10,1960,10,31,10/1/1960,10/31/1960,10/3/1960,10/31/1960,2.47
1,11,1960,11,30,11/1/1960,11/30/1960,11/1/1960,11/30/1960,2.44
1,12,1960,12,31,12/1/1960,12/31/1960,12/1/1960,12/30/1960,1.98
1,1,1961,1,31,1/1/1961,1/31/1961,1/2/1961,1/31/1961,1.45
1,2,1961,2,28,2/1/1961,2/28/1961,2/1/1961,2/28/1961,2.54
1,3,1961,3,31,3/1/1961,3/31/1961,3/1/1961,3/31/1961,2.02
1,4,1961,4,30,4/1/1961,4/30/1961,4/3/1961,4/28/1961,1.49
1,5,1961,5,31,5/1/1961,5/31/1961,5/1/1961,5/31/1961,1.98
1,6,1961,6,30,6/1/1961,6/30/1961,6/1/1961,6/30/1961,1.73
1,7,1961,7,31,7/1/1961,7/31/1961,7/3/1961,7/31/1961,1.17
1,8,1961,8,31,8/1/1961,8/31/1961,8/1/1961,8/31/1961,2
1,9,1961,9,30,9/1/1961,9/30/1961,9/1/1961,9/29/1961,1.88
1,10,1961,10,31,10/1/1961,10/31/1961,10/2/1961,10/31/1961,2.26
1,11,1961,11,30,11/1/1961,11/30/1961,11/1/1961,11/30/1961,2.61
1,12,1961,12,31,12/1/1961,12/31/1961,12/1/1961,12/29/1961,2.33
1,1,1962,1,31,1/1/1962,1/31/1962,1/1/1962,1/31/1962,2.15
1,2,1962,2,28,2/1/1962,2/28/1962,2/1/1962,2/28/1962,2.37
1,3,1962,3,31,3/1/1962,3/31/1962,3/1/1962,3/30/1962,2.85
1,4,1962,4,30,4/1/1962,4/30/1962,4/2/1962,4/30/1962,2.78
1,5,1962,5,31,5/1/1962,5/31/1962,5/1/1962,5/31/1962,2.36
1,6,1962,6,30,6/1/1962,6/30/1962,6/1/1962,6/29/1962,2.68
1,7,1962,7,31,7/1/1962,7/31/1962,7/2/1962,7/31/1962,2.71
1,8,1962,8,31,8/1/1962,8/31/1962,8/1/1962,8/31/1962,2.93
1,9,1962,9,30,9/1/1962,9/30/1962,9/3/1962,9/28/1962,2.9
1,10,1962,10,31,10/1/1962,10/31/1962,10/1/1962,10/31/1962,2.9
1,11,1962,11,30,11/1/1962,11/30/1962,11/1/1962,11/30/1962,2.94
1,12,1962,12,31,12/1/1962,12/31/1962,12/3/1962,12/31/1962,2.93
1,1,1963,1,31,1/1/1963,1/31/1963,1/1/1963,1/31/1963,2.92
1,2,1963,2,28,2/1/1963,2/28/1963,2/1/1963,2/28/1963,3
1,3,1963,3,31,3/1/1963,3/31/1963,3/1/1963,3/29/1963,2.98
1,4,1963,4,30,4/1/1963,4/30/1963,4/1/1963,4/30/1963,2.9
1,5,1963,5,31,5/1/1963,5/31/1963,5/1/1963,5/31/1963,3
1,6,1963,6,30,6/1/1963,6/30/1963,6/3/1963,6/28/1963,2.99
1,7,1963,7,31,7/1/1963,7/31/1963,7/1/1963,7/31/1963,3.02
1,8,1963,8,31,8/1/1963,8/31/1963,8/1/1963,8/30/1963,3.49
1,9,1963,9,30,9/1/1963,9/30/1963,9/2/1963,9/30/1963,3.48
1,10,1963,10,31,10/1/1963,10/31/1963,10/1/1963,10/31/1963,3.5
1,11,1963,11,30,11/1/1963,11/30/1963,11/1/1963,11/29/1963,3.48
1,12,1963,12,31,12/1/1963,12/31/1963,12/2/1963,12/31/1963,3.38
1,1,1964,1,31,1/1/1964,1/31/1964,1/1/1964,1/31/1964,3.48
1,2,1964,2,29,2/1/1964,2/29/1964,2/3/1964,2/28/1964,3.48
1,3,1964,3,31,3/1/1964,3/31/1964,3/2/1964,3/31/1964,3.43
1,4,1964,4,30,4/1/1964,4/30/1964,4/1/1964,4/30/1964,3.47
1,5,1964,5,31,5/1/1964,5/31/1964,5/1/1964,5/29/1964,3.5
1,6,1964,6,30,6/1/1964,6/30/1964,6/1/1964,6/30/1964,3.5
1,7,1964,7,31,7/1/1964,7/31/1964,7/1/1964,7/31/1964,3.42
1,8,1964,8,31,8/1/1964,8/31/1964,8/3/1964,8/31/1964,3.5
1,9,1964,9,30,9/1/1964,9/30/1964,9/1/1964,9/30/1964,3.45
1,10,1964,10,31,10/1/1964,10/31/1964,10/1/1964,10/30/1964,3.36
1,11,1964,11,30,11/1/1964,11/30/1964,11/2/1964,11/30/1964,3.52
1,12,1964,12,31,12/1/1964,12/31/1964,12/1/1964,12/31/1964,3.85
1,1,1965,1,31,1/1/1965,1/31/1965,1/1/1965,1/29/1965,3.9
1,2,1965,2,28,2/1/1965,2/28/1965,2/1/1965,2/26/1965,3.98
1,3,1965,3,31,3/1/1965,3/31/1965,3/1/1965,3/31/1965,4.05
1,4,1965,4,30,4/1/1965,4/30/1965,4/1/1965,4/30/1965,4.09
1,5,1965,5,31,5/1/1965,5/31/1965,5/3/1965,5/31/1965,4.1
1,6,1965,6,30,6/1/1965,6/30/1965,6/1/1965,6/30/1965,4.05
1,7,1965,7,31,7/1/1965,7/31/1965,7/1/1965,7/30/1965,4.09
1,8,1965,8,31,8/1/1965,8/31/1965,8/2/1965,8/31/1965,4.12
1,9,1965,9,30,9/1/1965,9/30/1965,9/1/1965,9/30/1965,4.02
1,10,1965,10,31,10/1/1965,10/31/1965,10/1/1965,10/29/1965,4.08
1,11,1965,11,30,11/1/1965,11/30/1965,11/1/1965,11/30/1965,4.1
1,12,1965,12,31,12/1/1965,12/31/1965,12/1/1965,12/31/1965,4.32
1,1,1966,1,31,1/1/1966,1/31/1966,1/3/1966,1/31/1966,4.42
1,2,1966,2,28,2/1/1966,2/28/1966,2/1/1966,2/28/1966,4.6
1,3,1966,3,31,3/1/1966,3/31/1966,3/1/1966,3/31/1966,4.66
1,4,1966,4,30,4/1/1966,4/30/1966,4/1/1966,4/29/1966,4.67
1,5,1966,5,31,5/1/1966,5/31/1966,5/2/1966,5/31/1966,4.9
1,6,1966,6,30,6/1/1966,6/30/1966,6/1/1966,6/30/1966,5.17
1,7,1966,7,31,7/1/1966,7/31/1966,7/1/1966,7/29/1966,5.3
1,8,1966,8,31,8/1/1966,8/31/1966,8/1/1966,8/31/1966,5.53
1,9,1966,9,30,9/1/1966,9/30/1966,9/1/1966,9/30/1966,5.4
1,10,1966,10,31,10/1/1966,10/31/1966,10/3/1966,10/31/1966,5.53
1,11,1966,11,30,11/1/1966,11/30/1966,11/1/1966,11/30/1966,5.76
1,12,1966,12,31,12/1/1966,12/31/1966,12/1/1966,12/30/1966,5.4
1,1,1967,1,31,1/1/1967,1/31/1967,1/2/1967,1/31/1967,4.94
1,2,1967,2,28,2/1/1967,2/28/1967,2/1/1967,2/28/1967,5
1,3,1967,3,31,3/1/1967,3/31/1967,3/1/1967,3/31/1967,4.53
1,4,1967,4,30,4/1/1967,4/30/1967,4/3/1967,4/28/1967,4.05
1,5,1967,5,31,5/1/1967,5/31/1967,5/1/1967,5/31/1967,3.94
