"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2020","90.09","90.21","90.22","90.09","-","-0.27%"
"Dec 28, 2020","90.34","90.22","90.38","89.98","-","0.15%"
"Dec 27, 2020","90.20","90.22","90.29","90.19","-","-0.13%"
"Dec 25, 2020","90.32","90.33","90.42","90.21","-","0.00%"
"Dec 24, 2020","90.32","90.28","90.38","90.15","-","-0.10%"
"Dec 23, 2020","90.41","90.52","90.67","90.16","-","-0.27%"
"Dec 22, 2020","90.65","90.09","90.72","90.06","-","0.68%"
"Dec 21, 2020","90.04","89.92","91.02","89.92","-","0.03%"
"Dec 18, 2020","90.02","89.83","90.13","89.83","-","0.22%"
"Dec 17, 2020","89.82","90.27","90.27","89.73","-","-0.69%"
"Dec 16, 2020","90.45","90.49","90.70","90.13","-","-0.03%"
"Dec 15, 2020","90.47","90.69","90.82","90.42","-","-0.26%"
"Dec 14, 2020","90.71","90.98","90.98","90.42","-","-0.29%"
"Dec 11, 2020","90.98","90.74","91.04","90.62","-","0.17%"
"Dec 10, 2020","90.82","91.06","91.15","90.67","-","-0.29%"
"Dec 09, 2020","91.09","90.92","91.20","90.69","-","0.13%"
"Dec 08, 2020","90.96","90.90","91.02","90.75","-","0.19%"
"Dec 07, 2020","90.79","90.81","91.24","90.62","-","0.10%"
"Dec 04, 2020","90.70","90.71","90.87","90.48","-","-0.01%"
"Dec 03, 2020","90.71","91.06","91.09","90.51","-","-0.44%"
"Dec 02, 2020","91.12","91.19","91.50","90.99","-","-0.21%"
"Dec 01, 2020","91.31","91.94","91.94","91.16","-","-0.61%"
"Nov 30, 2020","91.87","91.78","92.05","91.51","-","0.09%"
"Nov 27, 2020","91.79","92.02","92.05","91.76","-","-0.22%"
"Nov 26, 2020","91.99","91.95","92.17","91.85","-","0.00%"
"Nov 25, 2020","91.99","92.11","92.26","91.93","-","-0.25%"
"Nov 24, 2020","92.23","92.53","92.56","92.13","-","-0.30%"
"Nov 23, 2020","92.50","92.40","92.80","92.02","-","0.12%"
"Nov 20, 2020","92.39","92.34","92.43","92.21","-","0.11%"
"Nov 19, 2020","92.29","92.56","92.72","92.24","-","-0.02%"
"Nov 18, 2020","92.32","92.44","92.51","92.21","-","-0.11%"
"Nov 17, 2020","92.42","92.49","92.61","92.27","-","-0.24%"
"Nov 16, 2020","92.64","92.72","92.84","92.46","-","-0.12%"
"Nov 13, 2020","92.75","92.95","93.00","92.71","-","-0.22%"
"Nov 12, 2020","92.96","93.01","93.14","92.78","-","-0.09%"
"Nov 11, 2020","93.04","92.70","93.21","92.61","-","0.32%"
"Nov 10, 2020","92.75","92.76","92.97","92.60","-","0.03%"
"Nov 09, 2020","92.72","92.24","92.96","92.13","-","0.54%"
"Nov 06, 2020","92.23","92.57","92.82","92.18","-","-0.32%"
"Nov 05, 2020","92.53","93.34","93.54","92.49","-","-0.94%"
"Nov 04, 2020","93.41","93.09","94.30","93.09","-","-0.16%"
"Nov 03, 2020","93.55","94.05","94.05","93.29","-","-0.61%"
"Nov 02, 2020","94.13","93.89","94.29","93.89","-","0.10%"
"Oct 30, 2020","94.04","93.92","94.08","93.65","-","0.09%"
"Oct 29, 2020","93.96","93.46","94.10","93.33","-","0.59%"
"Oct 28, 2020","93.40","93.15","93.64","93.05","-","0.50%"
"Oct 27, 2020","92.94","93.07","93.13","92.79","-","-0.11%"
"Oct 26, 2020","93.04","92.76","93.11","92.74","-","0.30%"
"Oct 23, 2020","92.77","92.93","93.13","92.66","-","-0.20%"
"Oct 22, 2020","92.95","92.67","92.97","92.61","-","0.37%"
"Oct 21, 2020","92.61","93.05","93.07","92.47","-","-0.49%"
"Oct 20, 2020","93.07","93.42","93.50","93.00","-","-0.39%"
"Oct 19, 2020","93.43","93.72","93.77","93.21","-","-0.27%"
"Oct 16, 2020","93.68","93.80","93.88","93.53","-","-0.19%"
"Oct 15, 2020","93.86","93.43","93.90","93.37","-","0.51%"
"Oct 14, 2020","93.38","93.54","93.67","93.25","-","-0.16%"
"Oct 13, 2020","93.53","93.03","93.60","93.03","-","0.50%"
"Oct 12, 2020","93.07","93.06","93.24","93.01","-","0.01%"
"Oct 09, 2020","93.06","93.56","93.59","93.00","-","-0.59%"
"Oct 08, 2020","93.61","93.61","93.78","93.50","-","-0.03%"
"Oct 07, 2020","93.63","93.83","93.90","93.56","-","-0.06%"
"Oct 06, 2020","93.69","93.43","93.85","93.33","-","0.18%"
"Oct 05, 2020","93.51","93.81","93.87","93.37","-","-0.35%"
"Oct 02, 2020","93.84","93.73","94.03","93.69","-","0.14%"
"Oct 01, 2020","93.71","93.80","93.92","93.53","-","-0.19%"
"Sep 30, 2020","93.89","93.85","94.19","93.67","-","0.00%"
"Sep 29, 2020","93.89","94.24","94.30","93.82","-","-0.41%"
"Sep 28, 2020","94.28","94.58","94.64","94.15","-","-0.38%"
"Sep 25, 2020","94.64","94.32","94.74","94.19","-","0.31%"
"Sep 24, 2020","94.35","94.38","94.59","94.20","-","-0.04%"
"Sep 23, 2020","94.39","93.99","94.43","93.93","-","0.43%"
"Sep 22, 2020","93.99","93.55","94.08","93.46","-","0.35%"
"Sep 21, 2020","93.66","93.00","93.78","92.75","-","0.79%"
"Sep 18, 2020","92.93","92.86","93.01","92.77","-","-0.05%"
"Sep 17, 2020","92.97","93.15","93.59","92.87","-","-0.26%"
"Sep 16, 2020","93.21","93.08","93.28","92.78","-","0.18%"
"Sep 15, 2020","93.05","93.06","93.14","92.79","-","0.00%"
"Sep 14, 2020","93.05","93.29","93.33","92.87","-","-0.30%"
"Sep 11, 2020","93.33","93.33","93.38","93.10","-","0.00%"
"Sep 10, 2020","93.34","93.23","93.45","92.70","-","0.09%"
